ST. Anthonys Distributor (2024 -2025),,,,
ORANGE MAIN LOCATION,,,,
Location Summary,,,,
1-Jan-26 to 1-Jun-26,,,,
,ORANGE MAIN LOCATION,,,
,ST. Anthonys Distributor (2024 -2025),,,
Particulars,1-Jan-26 to 1-Jun-26,,,
,Closing Balance,,,
,Quantity,Rate,Value,
190-1052 (ORANGE 7/0.53 TWIN FLAT 100M 300/500V (2 X1.5 MM2)),,,,
190-1053 (ORANGE 7/0.53 MM FLAT TWIN GREY 500M),,,,
190-1080 (ORANGE 7/0.53 GREEN EARTH 100M 450/750V (1X1.5MM2)),3 NOS,7963.93,23891.80,
190-1114 (ORANGE 7/0.67MM SS BLUE 100 M),5 NOS,13760.36,68801.82,
190-1115 (ORANGE 7/0.67 SS BLUE 500M),1 NOS,79257.44,79257.44,
190-1133 (ORANGE 7/0.67MM SS BROWN 100 M),5 NOS,13897.08,69485.41,
190-1134 (ORENGE 7/0.67MM SS BROWN 500M),1 NOS,64636.16,64636.16,
190-1144 (ORANGE 7/0.67MM FLAT TWIN GREY 100M),2 NOS,28654.91,57309.82,
190-1145 (ORANGE 7/0.67MM FLAT TWIN GREY 500M),,,,
190-1163 (ORANGE 7/0.67MM EARTH WIRE GREEN 50M),28 NOS,6005.12,168143.32,
190-1164 (ORANGE 7/0.67 GREEN EARTH 100M 450/750V (1X2.5MM2)),6 NOS,11829.17,70975.01,
190-1165 (ORANGE 7/0.67MM EARTH WIRE GREEN 500),1 NOS,59134.51,59134.51,
190-1208 (ORANGE 7/0.85 BLUE 100M (1X4MM2)),12 NOS,22250.22,267002.68,
190-1228 (ORANGE 7/0.85 BROWN 100M (1X4MM2)),9 NOS,22193.38,199740.42,
190-1239 (ORANGE 7/0.85MM FLAT TWIN GREY 100M),,,,
190-1260 (ORANGE 7/0.85 GREEN EARTH 100M 450/750V (1X4MM2)),3 NOS,19859.87,59579.60,
190-1292 (ORANGE 7/1.04 BLUE 100M (1X6MM2)),8 NOS,36061.89,288495.13,
190-1314 (ORANGE 7/1.04 BROWN 100M (1X6MM2)),1 NOS,34563.03,34563.03,
190-1336 (ORANGE 7/1.04MM FLAT TWIN GREY 50M),,,,
190-1337 (ORANGE 7/1.04 TWIN FLAT 100M 300/500V (2X6MM2)),2 NOS,61552.37,123104.73,
190-1360 (ORANGE 7/1.04MM EARTH WIRE GREEN 100M),3 NOS,31568.42,94705.26,
190-1386 (ORANGE 7/1.35 MM SS BLUE 100 M),3 NOS,62594.35,187783.06,
190-1388 (ORANGE 10MM2(7/1.35)CU/PVC/PVC/BLN/S),250 NOS,729.66,182415.00,
190-1407 (ORANGE 7/1.35 BROWN 100M (1X10MM2)),3 NOS,62379.28,187137.84,
190-1409 (ORANGE 10MM2(7/1.35)CU/PVC/PVC/BRN/S),,,,
190-1410 (ORANGE 7/1.35 TWIN FLAT 300/500V 100M (2X10MM2)),,,,
190-1428 (ORANGE 7/1.35 GREEN EARTH 100M 450/750V (1X10MM2)),1 NOS,68359.36,68359.36,
190-1446 (ORANGE 7/1.70 BLUE 100M (1X16MM2)),3 NOS,91065.58,273196.73,
190-1466 (ORANGE 7/1.70 BROWN 100M (1X16MM2)),2 NOS,94922.87,189845.74,
190-1487 (ORANGE 7/1.70 GREEN EARTH 100M 450/750V (1X16MM2)),2 NOS,99084.79,198169.58,
191-1075 (ORANGE 16/0.20 2 CORE SH BLACK 100M 300/500V (2X0.5M)),,,,
191-1086 (ORANGE 16/0.20 2 CORE SH WHITE 100M 300/500V (2X0.5MM2)),1 NOS,8066.53,8066.53,
191-1087 (ORANGE 16/0.2MM TWO CORE WHITE 500M),,,,
191-1102 (ORANGE 16/0.20 3 CORE SH WHITE 100M 300/500V (3X0.5MM2)),,,,
191-1103 (ORANGE 16/0.2MM THREE CORE WHITE 500M),,,,
191-1114 (ORANGE 16/0.20 PARALLEL TWIN BLACK 100M),4 NOS,,,
191-1125 (ORANGE 16/0.20 PARALLEL TWIN WHITE 100M),,,,
191-1136 (ORANGE 16/0.20 TT FLEX 100M 300/500V (2X0.5MM2)),,,,
191-1137 (ORANGE 16/0.2MM TWISTED TWIN 500M),,,,
191-1189 (ORANGE 24/0.20 2 CORE SH WHITE 100M 300/500V (2X0.75MM2)),,,,
191-1207 (ORANGE 24/0.20 3 CORE SH WHITE 100M 300/500V (3X0.75MM2)),,,,
191-1242 (ORANGE 32/0.25 2 CORE SH BLACK 100M 300/500V (2xX1.5MM2)),4 NOS,26426.35,105705.39,
191-1254 (ORANGE 30/0.25 3 CORE SH BLACK 100M 300/500V (3X1.5MM2)),,,,
191-1283 (ORANGE 30/0.25 4 CORE SH BLACK 100M 300/500V (4X1.5MM2)),2 NOS,42356.92,84713.84,
191-1396 (ORANGE 50/0.25 2 CORE SH BLACK 100M 300/500V (2X2.5MM2)),3 NOS,41029.30,123087.89,
191-1416 (ORANGE 50/0.25 3 CORE SH BLACK 100M 300/500V (3X2.5MM2)),,,,
191-1417 (ORANGE 50/0.25MM THRE CORE BLACK 500M),,,,
191-1446 (ORANGE 50/0.25 4 CORE SH BLACK 100M 300/500V (4X2.5MM2)),1 NOS,68843.43,68843.43,
195-1034 (ORANGE 6MM2 (84/0.30MM) S/G 100M),1 NOS,37718.58,37718.58,
195-1042 (ORANGE 10MM2 (126/0.30MM) S/G 100M),4 NOS,59636.44,238545.76,
195-1047 (ORANGE 16MM2 (196/0.30MM) S/G 100M),2 NOS,107491.00,214981.99,
203-1013 (RUHUNU CABLES 1/1.13MM SS BLUE 50M),15 NOS,2937.71,44065.69,
203-1015 (RUHUNU CABLES 1/1.13 X 1MM BLUE 100M),5 NOS,5847.45,29237.25,
203-1026 (RUHUNU CABLES 1/1.13MM SS BROWN 50M),11 NOS,2428.53,26713.82,
203-1028 (RUHUNU CABLES 1/1.13 X 1MM BROWN 100M),8 NOS,,,
204-1052 (RUHUNU CABLES 7/0.53MM FLAT TWIN GREY 100M),,,,
204-1164 (RUHUNU CABLES 7/0.67MM EARTH WIRE GREEN 100M),20 NOS,12068.44,241368.80,
204-1337 (RUHUNU CABLES 7/1.04MM FLAT TWIN GREY 100M),4 NOS,66374.64,265498.55,
264-1003 (ORANGE CAT6 UTP CABLE 23AWG 305M-BLUE),,,,
264-1068 (ORANGE 3C-2V Cu/Pe/Cu PVC Coaxi Cable),,,,
264-1202 (ORANGE TELEPHONE 2P 100M),1 NOS,,,
RUHUNU CABLES 30/0.25X1.5MM 4 CORE 100M,,,,
RUHUNU CABLES 7/1.04X6MM EARTH 100M,,,,
XK-07104-CGY6 (ORANGE 7/1.04MM FLAT TWIN GREY 500M),,,,
CASABLANCA,5140 NOS,674.41,3466484.08,
163-1001 (ORANGE CA 10A 1W 1G SWITCH),858 NOS,223.59,191840.19,
163-1002 (ORANGE CA 10A 1W 2G SWITCH),803 NOS,439.96,353290.39,
163-1003 (ORANGE CA 10A 1W 3G SWITCH),185 NOS,625.94,115798.39,
163-1004 (ORANGE CA 10A 1W 4G SWITCH),39 NOS,802.03,31279.16,
163-1005 (ORANGE CA 10A 1W 5G SWITCH),193 NOS,957.42,184782.01,
163-1008 (ORANGE CA 10A 1G 2W BELL PRESS SWITCH),273 NOS,551.72,150619.34,
163-1009 (ORANGE CA INTERMEDIATE SWITCH),,,,
163-1010 (ORANGE CA BLANK PLATE W/REMOVABLE PLUG),93 NOS,237.11,22051.42,
163-1011 (ORANGE CA 10A 2W 1G SWITCH),172 NOS,405.34,69717.77,
163-1012 (ORANGE CA 10A 2W 2G SWITCH),37 NOS,726.48,26879.92,
163-1013 (ORANGE CA 10A 2W 3G SWITCH),36 NOS,1205.76,43407.28,
163-1014 (ORANGE CA 10A 2W 4G SWITCH),63 NOS,1447.27,91178.26,
163-1015 (ORANGE CA 10A 2W 5G SWITCH),106 NOS,1995.66,211539.74,
163-1017 (ORANGE CA 400W LIGHT DIMMER),23 NOS,1534.76,35299.49,
163-1018 (ORANGE CA 400W FAN SPEED CONTROLLER),20 NOS,1458.79,29175.79,
163-1021 (ORANGE CA 20A DP SWITCH & NEON),501 NOS,1474.66,738803.99,
163-1023 (ORANGE CA 5STEP HUMFREE FAN CONTROLLER WHITE),4 NOS,1847.59,7390.34,
163-1024 (ORANGE CA TUMBLER SWITCH),276 NOS,218.68,60357.04,
163-1058 (ORANGE 25A 1 GANG FLEX CONNECTION UNIT),,,,
163-1072 (ORANGE CA 13A S/SOCKET OUTLET),1061 NOS,514.08,545441.37,
